Station: Lugano-Università
Urban
Hourly means, PREC: Hourly sums
CET, ending time
Source: NABEL/MeteoSchweiz
Date/time;O3 [µg/m³];NO2 [µg/m³];SO2 [µg/m³];CO [mg/m³];PM10 [µg/m³];CPC [1/cm³];NMVOC [ppm];EC [µg/m³];NOX [µg/m³];TEMP [°C];PREC [mm];RAD [W/m²]
01.01.2015 01:00;9.9;40.0;12.8;0.50;;24502.9;0.5;2.2;51.5;-0.5;0.0;0.0
01.01.2015 02:00;6.0;42.9;5.1;0.60;35.9;23442.6;0.2;2.0;60.1;-0.7;0.0;0.0
01.01.2015 03:00;8.3;37.5;5.0;0.50;30.1;22064.7;0.1;1.8;49.9;-1.0;0.0;0.0
01.01.2015 04:00;6.9;37.6;4.3;0.50;27.1;20046.2;0.1;1.6;47.4;-0.9;0.0;0.0
01.01.2015 05:00;6.5;36.4;4.7;0.40;23.3;20830.6;0.1;1.4;45.7;-1.3;0.0;0.0
01.01.2015 06:00;6.6;36.0;5.8;0.40;20.0;25027.4;0.1;1.4;45.8;-1.3;0.0;0.0
01.01.2015 07:00;7.8;33.2;6.5;0.40;17.9;36275.3;0.1;1.0;43.6;-1.2;0.0;0.0
01.01.2015 08:00;4.2;38.0;7.0;0.40;16.4;33154.3;0.1;1.0;52.8;-1.1;0.0;0.0
01.01.2015 09:00;6.9;36.0;8.6;0.30;15.6;43707.0;0.1;0.9;52.4;-1.0;0.0;10.5
01.01.2015 10:00;10.5;33.8;9.0;0.30;14.2;42751.0;0.1;0.9;57.0;-0.5;0.0;77.7
01.01.2015 11:00;23.1;27.2;6.9;0.30;13.4;27301.3;0.1;1.0;39.7;1.7;0.0;253.8
01.01.2015 12:00;32.8;24.2;5.7;0.40;18.8;15226.6;0.1;1.1;33.0;2.6;0.0;323.8
01.01.2015 13:00;30.3;30.7;7.1;0.40;21.7;23123.2;0.1;1.3;44.6;3.8;0.0;347.5
01.01.2015 14:00;37.1;24.8;5.5;0.40;21.4;15085.6;0.1;1.1;32.8;4.8;0.0;319.8
01.01.2015 15:00;40.2;23.6;4.4;0.40;20.4;13877.2;0.1;0.9;29.5;5.3;0.0;238.7
01.01.2015 16:00;36.8;25.9;3.5;0.40;17.4;12174.9;0.1;0.9;29.8;5.3;0.0;130.3
01.01.2015 17:00;31.7;34.3;3.6;0.40;18.3;18492.4;0.1;1.1;42.4;5.1;0.0;23.7
01.01.2015 18:00;5.5;58.4;6.8;0.60;21.9;36241.1;0.2;1.7;98.2;3.7;0.0;0.0
01.01.2015 19:00;3.9;50.5;7.0;0.50;25.2;37874.9;0.2;2.0;72.0;2.7;0.0;0.0
01.01.2015 20:00;4.6;47.3;8.1;0.60;25.7;43541.4;0.2;2.3;68.7;2.0;0.0;0.0
01.01.2015 21:00;5.0;43.9;7.8;0.60;28.2;42386.0;0.2;2.2;64.4;1.7;0.0;0.0
01.01.2015 22:00;4.5;42.8;7.7;0.60;28.6;43839.3;0.2;2.2;62.2;1.4;0.0;0.0
01.01.2015 23:00;7.6;35.5;6.1;0.60;27.2;34904.3;0.1;1.9;45.2;1.1;0.0;0.0
02.01.2015 00:00;6.2;36.5;4.8;0.60;25.0;23959.2;0.2;1.8;46.3;0.9;0.0;0.0
02.01.2015 01:00;7.5;30.8;5.4;0.50;23.1;21483.0;0.1;1.4;37.2;0.6;0.0;0.0
02.01.2015 02:00;11.9;26.3;4.9;0.40;18.2;19023.3;0.1;1.2;30.9;0.4;0.0;0.0
02.01.2015 03:00;13.3;24.4;4.9;0.40;16.5;18255.1;0.1;1.0;27.9;0.5;0.0;0.0
02.01.2015 04:00;11.5;25.6;5.0;0.30;15.4;17200.8;0.1;0.8;28.8;0.3;0.0;0.0
02.01.2015 05:00;12.8;25.1;4.9;0.30;12.5;17088.9;0.1;0.6;28.5;0.4;0.0;0.0
02.01.2015 06:00;6.6;32.6;6.5;0.40;10.6;28092.0;0.1;1.1;40.6;0.2;0.0;0.0
02.01.2015 07:00;3.8;42.6;8.4;0.30;8.9;44333.0;0.1;0.6;71.1;0.3;0.0;0.0
02.01.2015 08:00;1.1;52.6;8.8;0.30;7.8;51507.9;0.1;0.9;110.9;0.3;0.0;0.0
02.01.2015 09:00;1.8;56.7;9.5;0.40;8.7;49298.0;0.1;1.3;139.4;0.6;0.0;14.2
02.01.2015 10:00;3.4;60.0;9.6;0.60;9.1;47211.5;0.2;1.8;169.2;1.4;0.0;81.0
02.01.2015 11:00;7.2;53.6;11.4;0.60;12.2;42326.4;0.2;1.8;129.1;3.3;0.0;159.2
02.01.2015 12:00;12.7;55.2;11.0;0.50;13.6;30612.7;0.2;1.4;107.1;4.4;0.0;232.2
02.01.2015 13:00;16.2;48.6;9.7;0.50;15.1;25982.6;0.1;1.5;86.1;5.3;0.0;295.5
02.01.2015 14:00;29.2;33.0;7.3;0.40;16.8;20389.4;0.1;1.3;49.5;6.2;0.0;255.3
02.01.2015 15:00;18.5;47.6;6.7;0.40;14.2;19972.3;0.1;1.2;67.7;6.7;0.0;123.2
02.01.2015 16:00;6.2;65.6;8.5;0.50;20.9;28124.1;0.2;1.8;109.0;6.8;0.0;53.0
02.01.2015 17:00;2.2;94.0;9.7;1.00;23.6;38738.4;0.3;2.7;;6.5;0.0;10.0
02.01.2015 18:00;2.4;90.6;10.5;1.20;27.6;45885.8;0.5;4.0;;6.2;0.0;0.0
02.01.2015 19:00;2.4;66.3;9.3;0.90;29.4;44185.0;0.3;3.2;190.8;5.6;0.0;0.0
02.01.2015 20:00;2.6;62.6;9.6;0.80;25.0;44221.3;0.3;3.1;163.4;5.3;0.0;0.0
02.01.2015 21:00;2.6;59.6;9.0;0.80;28.0;41180.2;0.3;3.1;151.0;5.0;0.0;0.0
02.01.2015 22:00;2.5;49.2;8.5;0.70;27.0;39841.4;0.2;2.8;101.7;4.6;0.0;0.0
02.01.2015 23:00;2.1;48.4;7.9;0.70;25.6;36919.6;0.2;2.5;108.6;4.4;0.0;0.0
03.01.2015 00:00;1.8;44.1;6.2;0.70;22.9;29563.1;0.2;2.0;89.2;4.1;0.0;0.0
03.01.2015 01:00;2.7;40.6;5.4;0.60;19.1;23751.5;0.2;1.5;70.7;4.2;0.0;0.0
03.01.2015 02:00;1.9;38.5;5.3;0.50;12.1;21791.2;0.2;1.1;55.5;4.3;0.0;0.0
03.01.2015 03:00;1.6;37.9;5.5;0.40;8.6;20692.2;0.2;1.0;53.5;4.3;0.0;0.0
03.01.2015 04:00;2.8;36.7;5.1;0.40;8.8;17508.9;0.2;0.8;46.8;4.1;0.0;0.0
03.01.2015 05:00;3.7;35.3;5.1;0.30;6.3;16676.3;0.1;0.6;43.5;3.8;0.0;0.0
03.01.2015 06:00;4.7;36.0;5.6;0.40;5.3;22343.5;0.1;0.7;44.1;3.7;0.0;0.0
03.01.2015 07:00;1.9;43.6;7.1;0.30;5.6;40339.9;0.1;0.6;81.3;3.4;0.0;0.0
03.01.2015 08:00;0.7;54.7;8.0;0.30;6.0;41863.7;0.1;0.8;114.3;3.5;0.0;0.0
03.01.2015 09:00;1.4;56.2;9.0;0.40;5.1;42505.9;0.1;1.0;139.3;3.7;0.0;19.7
03.01.2015 10:00;2.9;60.5;10.0;0.60;4.9;47648.4;0.2;1.6;171.1;4.7;0.0;93.3
03.01.2015 11:00;6.9;50.6;11.2;0.60;8.9;33579.7;0.2;1.6;131.7;6.0;0.0;216.5
03.01.2015 12:00;13.5;42.2;9.3;0.40;12.2;21838.0;0.1;1.3;78.9;7.1;0.0;268.3
03.01.2015 13:00;25.0;38.2;6.2;0.40;14.3;14539.2;0.1;1.5;55.2;8.2;0.0;266.3
03.01.2015 14:00;29.5;38.7;6.1;0.50;18.6;14899.3;0.1;1.8;54.8;8.6;0.0;292.3
03.01.2015 15:00;26.6;43.9;4.7;0.50;21.9;13138.5;0.1;1.8;57.1;8.7;0.0;146.0
03.01.2015 16:00;12.7;68.2;5.6;0.70;25.1;24717.7;0.2;2.5;116.3;9.7;0.0;131.8
03.01.2015 17:00;2.9;95.9;6.5;1.00;31.4;36496.2;0.4;3.1;;8.8;0.0;20.0
03.01.2015 18:00;1.3;81.5;7.2;0.90;33.6;35304.2;0.4;3.4;194.6;7.8;0.0;0.0
03.01.2015 19:00;1.7;67.7;7.3;0.70;31.3;35106.7;0.3;3.1;132.5;6.9;0.0;0.0
03.01.2015 20:00;2.2;66.0;7.7;0.80;30.0;39834.5;0.3;3.4;134.2;6.7;0.0;0.0
03.01.2015 21:00;2.2;62.2;7.4;0.80;33.1;38954.5;0.3;3.0;121.7;6.0;0.0;0.0
03.01.2015 22:00;2.4;60.9;7.1;0.80;31.1;36278.0;0.2;3.0;112.4;6.0;0.0;0.0
03.01.2015 23:00;2.3;51.9;6.5;0.70;28.1;35089.1;0.2;2.7;92.6;4.8;0.0;0.0
04.01.2015 00:00;2.0;48.4;4.7;0.70;29.2;25919.0;0.2;2.5;89.7;4.5;0.0;0.0
04.01.2015 01:00;5.9;38.7;4.2;0.60;27.0;22746.0;0.2;1.7;54.4;4.6;0.0;0.0
04.01.2015 02:00;5.7;37.9;4.4;0.50;19.5;19898.0;0.2;1.6;48.5;4.4;0.0;0.0
04.01.2015 03:00;2.5;38.2;4.9;0.50;18.0;17142.9;0.2;1.5;49.8;5.1;0.0;0.0
04.01.2015 04:00;1.1;44.6;6.1;0.60;17.3;19561.1;0.2;1.7;66.1;6.3;0.0;0.0
04.01.2015 05:00;3.1;49.1;6.2;0.50;18.0;19398.7;0.2;1.5;63.3;8.1;0.0;0.0
04.01.2015 06:00;1.3;54.5;7.5;0.50;15.3;23975.6;0.2;1.3;79.2;8.9;0.0;0.0
04.01.2015 07:00;40.3;24.4;6.9;0.30;11.1;14511.0;0.1;0.3;29.2;10.9;0.0;0.0
04.01.2015 08:00;58.6;8.6;4.8;0.20;3.8;6302.2;0.0;0.0;9.2;11.6;0.0;0.7
04.01.2015 09:00;59.9;7.7;3.8;0.20;1.5;5424.1;0.0;0.0;8.4;12.0;0.0;31.8
04.01.2015 10:00;57.8;9.1;3.1;0.20;;4713.9;0.0;0.0;10.8;12.5;0.0;102.5
04.01.2015 11:00;65.6;9.4;2.5;0.20;4.0;4234.4;0.0;0.0;13.1;14.3;0.0;252.0
04.01.2015 12:00;77.5;5.5;2.1;0.20;5.3;5663.2;0.0;0.0;6.5;15.1;0.0;343.0
04.01.2015 13:00;80.2;5.5;1.6;0.20;4.7;6185.0;0.0;0.0;6.4;15.3;0.0;373.0
04.01.2015 14:00;81.0;5.6;1.5;0.20;4.4;5796.8;0.0;0.0;6.6;14.9;0.0;349.5
04.01.2015 15:00;82.2;5.8;1.2;0.20;3.3;4433.8;0.0;0.0;6.8;14.3;0.0;265.3
04.01.2015 16:00;83.9;5.9;1.0;0.20;4.6;4423.9;0.0;0.0;6.8;13.6;0.0;153.3
04.01.2015 17:00;83.4;7.8;1.0;0.20;1.1;5166.9;0.0;0.1;8.3;12.6;0.0;30.8
04.01.2015 18:00;77.9;11.9;1.7;0.20;3.5;8265.2;0.0;0.1;12.7;11.3;0.0;0.0
04.01.2015 19:00;68.8;18.4;2.4;0.20;6.8;11682.6;0.0;0.2;19.2;10.3;0.0;0.0
04.01.2015 20:00;64.5;20.1;2.7;0.20;4.4;13165.9;0.0;0.2;21.1;9.0;0.0;0.0
04.01.2015 21:00;44.3;39.3;4.0;0.30;5.1;21702.4;0.1;0.4;44.1;8.6;0.0;0.0
04.01.2015 22:00;42.3;40.3;4.2;0.30;5.3;21208.3;0.1;0.5;45.0;8.4;0.0;0.0
04.01.2015 23:00;76.7;8.4;0.9;0.20;4.6;4186.0;0.0;0.1;8.9;9.1;0.0;0.0
05.01.2015 00:00;80.5;4.7;0.4;0.20;2.5;3198.8;0.0;0.1;5.0;9.8;0.0;0.0
05.01.2015 01:00;81.9;3.3;0.5;0.20;2.6;2278.5;0.0;0.0;3.3;9.9;0.0;0.0
05.01.2015 02:00;83.7;2.4;0.5;0.20;1.7;1278.2;0.0;0.0;2.3;9.6;0.0;0.0
05.01.2015 03:00;79.8;4.4;0.6;0.20;3.7;2476.0;0.0;0.1;4.2;9.8;0.0;0.0
05.01.2015 04:00;77.6;5.1;0.9;0.20;2.5;3819.5;0.0;0.1;5.1;8.9;0.0;0.0
05.01.2015 05:00;70.8;9.7;1.5;0.20;2.2;6870.6;0.0;0.1;9.7;8.2;0.0;0.0
05.01.2015 06:00;39.7;34.3;4.6;0.20;;23569.4;0.1;0.2;36.3;7.1;0.0;0.0
05.01.2015 07:00;9.6;67.5;8.5;0.30;5.7;41077.5;0.1;0.4;87.4;5.5;0.0;0.0
05.01.2015 08:00;7.1;67.2;7.6;0.30;6.0;39714.2;0.1;0.7;96.7;4.2;0.0;0.0
05.01.2015 09:00;5.7;67.7;8.4;0.40;5.6;48017.7;0.1;0.9;109.1;3.7;0.0;10.5
05.01.2015 10:00;10.9;63.4;8.6;0.40;10.5;49524.1;0.2;1.3;116.7;4.0;0.0;87.7
05.01.2015 11:00;16.5;60.8;7.5;0.50;13.6;40361.0;0.2;1.1;102.7;5.8;0.0;281.5
05.01.2015 12:00;19.8;63.3;8.3;0.50;17.8;33271.9;0.2;1.0;105.0;6.6;0.0;349.5
05.01.2015 13:00;22.2;61.9;7.3;0.60;10.0;30499.8;0.1;0.8;96.9;7.5;0.0;375.3
05.01.2015 14:00;43.3;37.3;4.0;0.30;3.3;19253.7;0.1;0.5;51.6;8.9;0.0;348.5
05.01.2015 15:00;52.3;31.6;3.0;0.30;3.5;15960.3;0.1;0.4;38.1;9.9;0.0;263.2
05.01.2015 16:00;38.8;49.7;3.7;0.40;6.3;21668.0;0.1;0.7;64.4;9.9;0.0;151.8
05.01.2015 17:00;4.0;148.1;5.4;1.30;15.5;43797.3;0.5;3.1;;9.7;0.0;31.8
05.01.2015 18:00;3.3;83.7;5.8;0.60;21.8;36726.6;0.2;1.8;142.5;8.4;0.0;0.0
05.01.2015 19:00;4.7;90.7;6.6;0.70;14.7;36386.5;0.2;1.8;171.1;7.7;0.0;0.0
05.01.2015 20:00;2.6;86.7;9.0;0.70;17.4;42047.5;0.3;2.1;172.0;6.3;0.0;0.0
05.01.2015 21:00;6.8;64.4;8.4;0.50;16.9;41335.9;0.2;1.6;88.0;5.1;0.0;0.0
05.01.2015 22:00;7.9;55.4;7.1;0.50;14.3;32838.8;0.2;1.4;70.1;4.8;0.0;0.0
05.01.2015 23:00;11.7;47.3;6.4;0.40;12.8;31718.0;0.1;1.2;56.1;3.8;0.0;0.0
06.01.2015 00:00;18.8;37.0;4.1;0.40;13.5;21681.3;0.1;1.0;42.5;3.3;0.0;0.0
06.01.2015 01:00;18.3;36.1;4.4;0.40;10.5;22493.7;0.2;1.0;41.8;3.4;0.0;0.0
06.01.2015 02:00;22.6;29.4;4.6;0.40;9.6;20193.8;0.1;0.7;31.9;3.1;0.0;0.0
06.01.2015 03:00;26.9;25.1;4.5;0.30;7.0;16179.0;0.1;0.4;26.6;3.0;0.0;0.0
06.01.2015 04:00;26.4;25.0;4.9;0.30;6.9;16113.1;0.1;0.4;26.3;2.8;0.0;0.0
06.01.2015 05:00;25.1;27.2;5.3;0.20;6.7;18658.7;0.1;0.3;28.5;2.6;0.0;0.0
06.01.2015 06:00;20.9;30.7;6.0;0.20;5.5;25531.5;0.1;0.2;32.6;2.4;0.0;0.0
06.01.2015 07:00;14.3;38.6;8.4;0.20;2.9;39040.6;0.1;0.3;44.3;2.5;0.0;0.0
06.01.2015 08:00;7.7;48.8;8.7;0.30;8.3;42466.9;0.1;0.3;60.8;2.3;0.0;0.0
06.01.2015 09:00;7.5;49.3;8.8;0.30;7.9;43233.5;0.1;0.5;69.3;2.5;0.0;11.0
06.01.2015 10:00;14.2;46.0;8.7;0.40;5.8;43703.6;0.1;0.6;70.6;3.2;0.0;88.5
06.01.2015 11:00;25.8;35.4;6.6;0.30;8.8;24942.4;0.1;0.7;51.9;5.5;0.0;280.7
06.01.2015 12:00;36.3;31.5;5.6;0.30;9.3;20010.9;0.1;0.7;43.0;7.5;0.0;345.2
06.01.2015 13:00;48.9;27.6;3.7;0.40;11.9;16122.9;0.1;1.3;35.3;8.3;0.0;358.7
06.01.2015 14:00;60.7;23.7;3.2;0.40;19.5;14634.2;0.1;1.6;28.2;8.6;0.0;338.0
06.01.2015 15:00;61.6;23.8;2.9;0.40;21.2;14124.8;0.1;1.4;26.9;8.8;0.0;247.8
06.01.2015 16:00;59.2;27.4;2.5;0.40;25.7;13414.4;0.1;1.3;29.7;8.7;0.0;140.8
06.01.2015 17:00;54.6;30.6;2.6;0.40;24.8;16017.1;0.1;1.4;31.9;8.1;0.0;36.3
06.01.2015 18:00;32.7;50.8;4.1;0.50;25.2;23473.6;0.1;1.7;57.2;7.3;0.0;0.3
06.01.2015 19:00;15.1;55.2;5.9;0.60;27.8;33209.9;0.2;2.1;63.1;5.1;0.0;0.0
06.01.2015 20:00;9.9;56.1;6.7;0.60;32.6;37810.8;0.2;2.4;69.1;4.4;0.0;0.0
06.01.2015 21:00;7.5;56.6;7.0;0.60;35.5;35211.9;0.2;2.6;75.1;4.0;0.0;0.0
06.01.2015 22:00;6.5;53.8;7.5;0.60;33.6;39330.7;0.2;2.5;69.0;3.3;0.0;0.0
06.01.2015 23:00;8.3;47.1;6.4;0.50;34.2;32443.4;0.2;2.2;55.4;2.7;0.0;0.0
07.01.2015 00:00;9.2;43.4;4.7;0.60;31.5;21283.1;0.2;2.0;51.5;2.6;0.0;0.0
07.01.2015 01:00;9.1;41.7;4.2;0.60;29.8;18968.0;0.2;1.9;48.1;2.1;0.0;0.0
07.01.2015 02:00;18.8;28.2;4.2;0.40;27.3;14379.9;0.1;1.6;30.5;1.9;0.0;0.0
07.01.2015 03:00;20.0;26.5;4.6;0.40;25.5;13911.6;0.1;1.4;28.3;2.1;0.0;0.0
07.01.2015 04:00;18.7;26.8;4.6;0.40;24.1;14292.7;0.1;1.5;28.8;2.3;0.0;0.0
07.01.2015 05:00;16.2;28.9;4.4;0.40;23.7;14093.0;0.1;1.4;30.9;2.4;0.0;0.0
07.01.2015 06:00;7.3;39.1;5.7;0.40;25.3;21781.0;0.1;1.6;49.3;2.1;0.0;0.0
07.01.2015 07:00;3.4;43.9;6.9;0.40;25.7;41489.7;0.1;1.7;69.6;1.5;0.0;0.0
07.01.2015 08:00;1.4;54.8;7.2;0.50;27.0;45314.3;0.2;2.3;122.6;1.3;0.0;0.0
07.01.2015 09:00;1.6;61.0;7.7;0.60;29.9;48166.2;0.2;2.9;165.8;1.4;0.0;12.3
07.01.2015 10:00;2.8;65.8;8.4;0.70;33.2;42667.4;0.3;3.7;;2.0;0.0;86.0
07.01.2015 11:00;7.9;58.6;8.2;0.70;35.4;28938.5;0.2;3.3;136.9;3.7;0.0;234.0
07.01.2015 12:00;26.9;37.6;6.0;0.50;34.6;16055.4;0.1;1.8;55.6;4.7;0.0;310.0
07.01.2015 13:00;31.6;38.5;5.5;0.50;33.9;15242.1;0.1;1.9;53.9;5.6;0.0;342.0
07.01.2015 14:00;52.4;21.3;4.2;0.40;33.2;11222.0;0.1;1.4;25.2;6.5;0.0;317.2
07.01.2015 15:00;50.7;29.0;3.9;0.40;29.8;11405.9;0.1;1.3;33.1;6.9;0.0;240.0
07.01.2015 16:00;41.6;38.7;3.4;0.40;27.5;13778.6;0.1;1.4;43.3;7.2;0.0;132.0
07.01.2015 17:00;31.3;48.2;3.3;0.50;31.2;13992.3;0.1;1.6;54.8;6.9;0.0;28.0
07.01.2015 18:00;12.7;67.2;5.2;0.60;31.2;34357.8;0.2;2.8;114.2;5.8;0.0;0.2
07.01.2015 19:00;1.7;76.8;5.8;0.80;34.8;38485.2;0.2;3.0;144.8;4.6;0.0;0.0
07.01.2015 20:00;2.6;66.2;6.2;0.70;33.0;38328.3;0.2;2.9;106.3;3.5;0.0;0.0
07.01.2015 21:00;2.3;62.4;6.8;0.70;32.6;41609.8;0.2;2.7;102.9;3.2;0.0;0.0
07.01.2015 22:00;2.6;55.2;6.5;0.60;35.1;40994.4;0.2;2.7;85.8;2.8;0.0;0.0
07.01.2015 23:00;4.7;45.5;4.6;0.60;35.2;28235.1;0.2;2.2;60.7;2.0;0.0;0.0
08.01.2015 00:00;3.8;46.0;3.8;0.60;32.7;22570.2;0.2;2.3;62.8;1.9;0.0;0.0
08.01.2015 01:00;9.0;35.1;4.1;0.50;30.7;17967.2;0.1;1.8;41.0;1.5;0.0;0.0
08.01.2015 02:00;9.5;31.7;4.1;0.40;28.4;16386.6;0.1;1.6;37.0;1.3;0.0;0.0
08.01.2015 03:00;12.9;26.5;3.8;0.40;26.3;13879.0;0.1;1.4;29.9;1.0;0.0;0.0
08.01.2015 04:00;9.4;29.6;3.8;0.40;25.0;14376.9;0.1;1.3;33.8;1.0;0.0;0.0
08.01.2015 05:00;10.2;29.3;3.8;0.30;23.0;15502.0;0.1;1.3;33.7;0.9;0.0;0.0
08.01.2015 06:00;8.1;32.8;4.5;0.30;22.3;22098.9;0.1;1.2;39.1;0.8;0.0;0.0
08.01.2015 07:00;2.5;45.3;7.5;0.40;21.8;44158.2;0.1;1.4;80.5;0.8;0.0;0.0
08.01.2015 08:00;0.8;55.4;7.6;0.50;21.5;45636.8;0.2;2.0;132.2;0.7;0.0;0.0
08.01.2015 09:00;1.5;60.6;8.6;0.60;22.3;55511.4;0.2;2.9;168.4;1.0;0.0;17.0
08.01.2015 10:00;3.9;59.8;8.7;0.60;24.1;46850.7;0.2;2.9;162.4;1.7;0.0;92.8
08.01.2015 11:00;10.9;53.7;8.0;0.50;24.4;28695.2;0.2;2.4;106.5;3.7;0.0;243.8
08.01.2015 12:00;17.7;49.3;7.5;0.50;25.7;22416.5;0.1;2.1;79.9;4.6;0.0;315.2
08.01.2015 13:00;;;;0.50;25.5;20500.6;0.1;1.8;;5.3;0.0;346.3
08.01.2015 14:00;31.8;41.3;6.0;0.50;27.0;17480.0;0.1;1.7;57.7;6.3;0.0;316.0
08.01.2015 15:00;45.1;30.2;4.4;0.40;24.1;14493.1;0.1;1.3;36.9;6.7;0.0;246.8
08.01.2015 16:00;41.5;36.1;3.8;0.60;20.1;16053.8;0.1;1.4;41.7;6.8;0.0;141.0
08.01.2015 17:00;31.9;45.7;3.8;0.50;24.7;16458.4;0.1;1.4;48.9;6.5;0.0;32.5
08.01.2015 18:00;7.1;74.6;5.7;0.70;29.3;34905.0;0.3;2.8;146.3;5.8;0.0;0.2
08.01.2015 19:00;2.1;78.3;6.1;0.90;30.4;36657.0;0.3;3.0;173.5;5.7;0.0;0.0
08.01.2015 20:00;2.2;84.8;8.2;1.00;32.0;43588.2;0.3;3.8;;5.0;0.0;0.0
08.01.2015 21:00;2.0;75.3;8.6;0.90;33.0;39161.6;0.3;3.6;169.1;5.0;0.0;0.0
08.01.2015 22:00;2.1;68.6;9.5;0.80;31.8;40195.3;0.3;3.0;156.9;4.6;0.0;0.0
08.01.2015 23:00;1.8;61.1;7.3;0.80;31.8;33167.3;0.3;3.0;133.2;4.1;0.0;0.0
09.01.2015 00:00;2.7;48.7;4.7;0.60;29.9;22657.5;0.2;2.2;78.5;3.6;0.0;0.0
09.01.2015 01:00;7.9;36.4;3.8;0.50;23.0;18419.2;0.1;1.4;43.1;3.2;0.0;0.0
09.01.2015 02:00;10.8;31.1;3.7;0.40;17.8;15745.5;0.1;1.1;35.8;2.8;0.0;0.0
09.01.2015 03:00;12.9;26.9;3.6;0.30;14.3;14345.7;0.1;0.8;29.7;2.6;0.0;0.0
09.01.2015 04:00;15.0;25.8;3.8;0.30;12.8;13353.7;0.1;0.8;28.4;2.3;0.0;0.0
09.01.2015 05:00;13.4;27.6;4.2;0.30;12.0;14281.3;0.1;0.7;31.0;2.2;0.0;0.0
09.01.2015 06:00;7.8;33.9;5.2;0.40;9.8;23291.8;0.1;1.5;41.9;2.0;0.0;0.0
09.01.2015 07:00;2.2;50.8;6.5;0.30;9.2;39537.6;0.1;1.0;96.7;2.0;0.0;0.0
09.01.2015 08:00;0.8;63.6;7.5;0.50;11.6;48220.2;0.2;1.6;173.9;1.7;0.0;0.2
09.01.2015 09:00;1.4;70.3;9.2;0.70;12.8;55413.3;0.3;2.5;;2.1;0.0;18.2
09.01.2015 10:00;9.1;72.8;9.3;0.70;16.5;52954.9;0.3;3.7;;3.1;0.0;95.5
09.01.2015 11:00;12.9;50.1;7.2;0.50;21.7;25934.2;0.1;2.3;112.9;4.9;0.0;238.7
09.01.2015 12:00;16.1;48.5;7.6;0.50;14.1;23382.5;0.1;1.9;92.0;5.5;0.0;293.8
09.01.2015 13:00;23.7;42.3;6.6;0.50;16.3;21449.2;0.1;1.6;68.8;6.3;0.0;346.7
09.01.2015 14:00;29.6;39.6;6.1;0.40;16.6;17917.1;0.1;1.2;59.0;7.5;0.0;363.0
09.01.2015 15:00;24.7;48.2;5.4;0.40;15.6;18127.8;0.1;1.3;70.8;8.3;0.0;263.2
09.01.2015 16:00;11.3;66.0;5.4;0.50;19.1;22588.0;0.2;1.7;99.7;9.1;0.0;136.7
09.01.2015 17:00;2.1;85.5;8.3;0.90;23.5;34863.7;0.3;2.5;177.3;9.1;0.0;32.2
09.01.2015 18:00;1.7;101.7;10.1;1.20;28.3;43140.4;0.5;3.8;;8.5;0.0;0.5
09.01.2015 19:00;1.6;82.9;7.7;1.00;33.9;38121.6;0.4;3.4;;7.9;0.0;0.0
09.01.2015 20:00;2.0;81.2;8.3;1.00;32.9;40496.4;0.4;3.7;;7.2;0.0;0.0
09.01.2015 21:00;2.0;74.1;9.1;0.90;29.9;38840.8;0.3;3.5;195.7;6.7;0.0;0.0
09.01.2015 22:00;2.0;62.5;8.1;0.80;28.2;36827.0;0.3;3.0;144.5;6.2;0.0;0.0
09.01.2015 23:00;2.0;57.8;8.1;0.80;27.3;34875.5;0.3;3.2;133.7;6.0;0.0;0.0
10.01.2015 00:00;1.8;53.6;6.3;0.80;26.6;26022.7;0.3;2.8;105.3;5.9;0.0;0.0
10.01.2015 01:00;1.4;58.9;6.9;0.80;37.0;26154.9;0.3;2.9;121.9;7.0;0.0;0.0
10.01.2015 02:00;2.3;55.9;6.0;0.70;37.1;21089.5;0.2;2.3;90.6;7.1;0.0;0.0
10.01.2015 03:00;8.9;45.9;5.2;0.40;26.8;13924.4;0.1;1.3;51.6;8.9;0.0;0.0
10.01.2015 04:00;6.5;45.5;5.2;0.40;18.7;14317.7;0.1;1.2;50.6;7.8;0.0;0.0
10.01.2015 05:00;3.8;43.4;5.1;0.40;15.2;15662.8;0.2;0.9;52.0;7.1;0.0;0.0
10.01.2015 06:00;2.9;40.8;5.2;0.40;12.6;19753.1;0.1;0.7;53.9;6.8;0.0;0.0
10.01.2015 07:00;0.8;50.5;7.3;0.40;13.3;34120.6;0.2;1.0;91.3;6.7;0.0;0.0
10.01.2015 08:00;0.6;55.2;8.0;0.40;12.0;39858.7;0.2;1.1;124.7;6.6;0.0;0.0
10.01.2015 09:00;1.5;55.5;8.5;0.50;12.5;46810.1;0.2;1.4;171.1;6.5;0.0;13.7
10.01.2015 10:00;3.2;51.1;9.6;0.60;12.8;45877.2;0.2;1.9;152.1;7.4;0.0;126.5
10.01.2015 11:00;10.7;52.4;9.3;0.50;13.7;30839.9;0.2;1.3;103.5;9.0;0.0;240.2
10.01.2015 12:00;10.0;57.0;9.9;0.50;16.7;31071.5;0.2;1.4;117.4;9.1;0.0;221.0
10.01.2015 13:00;7.3;67.4;11.6;0.70;21.1;38942.8;0.2;1.9;155.3;9.5;0.0;215.0
10.01.2015 14:00;4.2;79.4;13.1;1.00;31.6;47322.8;0.4;2.8;;11.9;0.0;176.0
10.01.2015 15:00;6.9;71.9;12.7;0.80;40.2;34626.9;0.3;2.3;175.9;10.8;0.0;267.7
